gen,nevals,avg,std,min,max
1,441,-134.00124883403427,221.369895404709,-456.582074408017,222.66516034320784
2,452,-274.9409669506164,160.24267572602332,-456.582074408017,4.534702492351762
3,457,-326.5045566089005,72.7770077321542,-456.582074408017,-235.39573904854905
4,448,-382.83253557406215,41.16553791140877,-456.582074408017,-291.72699146646767
5,452,-399.32348182286887,19.123938727121256,-456.582074408017,-391.1335516381683
6,450,-405.19164200269284,23.312043092407755,-456.582074408017,-392.75355382436874
7,445,-426.36105817848204,39.618386345872935,-499.54864885172,-392.75355382436874
8,444,-468.88166293299037,37.04369470635047,-503.9037278053728,-395.40995717165015
9,453,-500.69745579287303,23.192102859350786,-528.5983657706935,-456.582074408017
10,453,-520.0842132078094,11.200634034714808,-530.1901722130578,-490.43782964708464
11,445,-527.670760475928,2.193594767452802,-531.1617595810919,-524.4507049873961
12,449,-529.1613840467768,1.1998227370813508,-531.1617595810919,-527.2176542939131
13,452,-530.2800421739123,0.5903610249216673,-531.196261099212,-528.9615959473716
14,448,-530.6526071899432,0.2836184503821887,-530.9972010125932,-530.1262812710551
15,450,-530.7447999885519,0.12347185500338255,-530.9658848613246,-530.6359695312167
16,446,-530.8512879261368,0.17896199723812287,-531.2211871919797,-530.6541877397856
17,458,-530.9976472785617,0.10523188043209816,-531.2184663412005,-530.8419518708725
18,445,-531.1066964446345,0.08480427015275166,-531.2184663412005,-530.9658848613246
19,451,-531.1905194863909,0.026721870733802534,-531.2184663412005,-531.1364236909711
20,459,-531.2180841679598,0.002700602446346547,-531.2215766557342,-531.2104813694083
21,445,-531.2195608099804,0.001244615871821068,-531.2215766557342,-531.2184663412005
22,451,-531.220840772888,0.0009377760606335834,-531.221734163606,-531.2190622233012
23,466,-531.2214970752503,0.0002342764260381301,-531.221734163606,-531.2211289547527
24,454,-531.2216417230965,0.00011096909015270346,-531.2217439533476,-531.2213847748138
25,449,-531.2217109976762,4.3259369231604296e-05,-531.2217439533476,-531.221610977264
26,456,-531.2217394767692,4.383026204015671e-06,-531.2217456379193,-531.2217341636061
27,445,-531.2217432096097,2.6015562335863816e-06,-531.2217461907089,-531.2217390931567
28,441,-531.2217452081588,1.051393692811623e-06,-531.2217461907089,-531.2217424945436
29,460,-531.2217913445286,0.00013579814599001016,-531.222198738637,-531.2217456940269
30,441,-531.2219553304724,0.0002465245140289675,-531.2223154973558,-531.2217461907089
31,461,-531.2222981543196,0.00020833477530713594,-531.2225265118657,-531.2217973273385
32,453,-531.2224893412474,8.015845932805179e-05,-531.2225263268266,-531.2222496072169
33,451,-531.2225222785689,2.7167945594682252e-06,-531.222526852974,-531.2225182129364
34,452,-531.2225255471492,7.734638836742184e-07,-531.222526852974,-531.222524443173
35,448,-531.2225263465403,5.587768080831404e-07,-531.2225267981491,-531.2225248836595
36,442,-531.2225267636085,7.805092095633821e-08,-531.2225268178023,-531.2225265578141
